Date,Open,High,Low,Close,Adj Close,Volume,RSI,Upper Bollinger band,Lower Bollinger band,%K (5 days stochastic oscillator),"%D Average(H,3)",EMA 12,EMA 26,Volume Weighted Average Price,William % R,Commodity Channel Index,Rate of Change (10 days),Aroon Up,Aroon Down,MACD,BUY/SELL
2010/02/09,492.209351,494.314392,486.736237,491.9617,445.888885,6595770,77.36356518,538.556974,482.7230332,24.86380293,14.72762265,507.0705276,526.1129735,525.6878184,-82.1078049,-133.3467022,-0.04683073594,32,88,-19.04244592,0
2010/02/10,495.255463,495.255463,486.389526,487.924957,442.230225,8427562,77.45099369,534.3796798,480.3622981,16.03178467,18.96200661,504.1250552,523.2842316,524.8571795,-89.47914646,-126.8001245,-0.04131185583,28,84,-19.15917636,-1
2010/02/11,489.980469,505.11203,489.609009,502.808868,455.720215,10822218,73.80048902,529.7061665,482.2833307,89.62056528,21.56057336,503.9225649,521.767538,524.1147931,-50.64537243,-81.14224593,-0.02121195237,24,80,-17.8449731,1
2010/02/15,508.678253,508.678253,499.069336,500.258057,453.408264,6229609,62.19071509,526.9390715,481.9476948,67.30768768,43.5053843,503.3587944,520.1742431,523.7637552,-56.97601358,-62.80514465,-0.03460143653,20,76,-16.81544865,-1
2010/02/16,500.307587,505.706421,497.781525,504.09668,456.88739,4646498,59.53584893,524.3097246,482.8576291,79.44443844,57.65334588,503.4723153,518.9833125,523.5076248,-47.44926121,-61.77062618,-0.02644921791,16,72,-15.5109972,1
2010/02/17,507.687622,514.027527,506.226471,511.427185,463.531403,7213298,53.03780876,523.9022492,483.6188948,90.59142519,78.79089713,504.6961414,518.4235993,523.2696527,-29.25630352,-9.16797311,0.005110465448,12,68,-13.72745794,1
2010/02/18,510.164154,514.299927,492.828491,494.215332,447.931458,9153440,57.05477914,522.9027622,481.8340626,18.65594062,79.1145171,503.0837092,516.6303943,522.7494948,-71.97293948,-62.5810314,-0.03496300056,8,64,-13.54668517,-1
2010/02/19,492.828491,492.828491,483.987274,486.983887,441.377258,8193714,62.49709538,521.3191875,478.9598912,9.885683711,62.89726808,500.6068135,514.4343568,522.0533592,-89.92004858,-131.7405007,-0.03527448934,4,60,-13.8275433,-1
2010/02/22,492.977081,495.304993,480.445862,484.383514,439.020447,5857376,65.96451824,518.4725178,477.0339386,11.63125314,39.71101651,498.1109212,512.2083684,521.5553238,-89.85975168,-122.7666527,-0.003819962209,0,56,-14.09744718,-1
2010/02/23,482.427063,486.884827,480.445862,483.095734,437.853241,5988853,63.26949094,515.4810823,476.3495014,7.827337721,13.39095916,495.8008924,510.051877,521.0144534,-92.17266228,-129.9361251,-0.01910796387,0,96,-14.25098454,0
2010/02/24,480.445862,488.222137,478.786591,484.804535,439.401978,5763020,63.26949094,513.2528301,474.6754579,16.94558912,9.781424859,494.1091451,508.1817035,520.5145227,-83.05441088,-113.4712345,-0.01454821585,0,96,-14.07255836,1
2010/02/25,485.448425,487.875427,475.071808,477.028259,432.353973,8747297,64.48695155,510.991489,472.9708217,9.669515699,12.13472666,491.4813165,505.8740409,519.701819,-95.01263112,-121.9825458,-0.02233273343,0,96,-14.39272444,-1
2010/02/26,479.950562,492.828491,478.58847,484.878845,439.46933,10420312,55.9615436,510.1352323,473.632494,48.47006045,11.48081418,490.4655516,504.3188412,518.9021697,-74.99998152,-80.37369493,-0.03565971911,0,92,-13.85328959,1
2010/03/02,487.875427,494.809692,485.101715,486.983887,441.377258,8404187,50.800118,509.687272,473.2915051,60.35134769,25.02838842,489.9299109,503.0347706,518.3491837,-69.63382567,-53.33212286,-0.0265346451,0,88,-13.10485962,0
2010/03/03,489.361328,509.173553,489.361328,507.588562,460.052277,12286956,53.09516405,512.4905957,472.7205903,95.35217039,39.49697461,492.6466265,503.3720884,517.9203566,-17.10855675,39.32820739,0.006927008525,0,84,-10.72546195,1
2010/03/04,515.117188,515.117188,499.267456,502.239258,455.203949,9590528,43.00581301,514.0830889,473.1729973,67.84165864,68.05785951,494.1224159,503.2881751,517.671389,-32.15834136,71.78424191,-0.01796526909,12,80,-9.165759125,-1
2010/03/05,506.201721,508.182922,497.831055,500.158997,453.318481,5433932,44.14136042,513.9553376,472.9221955,59.05087334,74.51505891,495.0511207,503.0563841,517.49547,-37.35310041,53.57201339,0.01202646825,8,76,-8.005263379,-1
2010/03/08,505.805481,508.678253,496.295624,497.335754,450.759674,5510907,51.62713982,513.3013359,473.1587254,40.75910781,74.08156746,495.4026028,502.6326337,517.3065134,-44.40320956,50.58757295,0.02125710373,4,72,-7.230030959,-1
2010/03/09,498.524475,501.149597,489.386108,490.525299,444.587006,8057566,55.03717854,512.0693477,472.4519448,4.51924727,55.88387993,494.6522483,501.7357941,516.9227027,-61.4100528,-4.072191547,0.01267959132,0,68,-7.083545775,-1
2010/03/10,492.828491,504.66626,490.005249,499.638916,452.847107,11448507,57.31448387,510.6817165,472.1555376,39.84600724,34.77640947,495.419428,501.5804698,516.4980051,-38.6518295,30.86160572,0.03424410699,0,64,-6.16104183,1
2010/03/11,500.258057,505.21109,498.772125,503.452759,456.303772,6730408,46.49375892,509.6132662,474.5436204,72.91387764,28.37478744,496.6553251,501.7191579,516.3144466,-29.12802675,62.89259863,0.03846544876,0,60,-5.063832839,1
2010/03/12,502.734589,511.650055,502.239258,506.003601,458.615814,10306792,38.86098225,512.2677023,474.6062863,74.63857599,39.09304405,498.0935214,502.0365241,516.124103,-22.75814838,90.09725107,0.06074135327,32,56,-3.943002696,1
2010/03/15,506.201721,511.130005,501.793488,509.198303,461.51123,8367777,35.36706093,515.3604067,475.0585518,88.98779269,62.46615362,499.8019493,502.5670262,515.9866563,-14.78044409,86.6918123,0.05015574148,28,52,-2.765076895,1
2010/03/16,511.154755,530.86792,509.668854,528.960999,479.423157,15690402,32.77777666,524.1841153,472.7870238,95.33334226,78.84674877,504.2879569,504.5221353,516.1920632,-3.417659281,187.406624,0.08619815382,96,48,-0.2341783461,1
2010/03/17,532.353821,536.167664,527.896057,529.827759,480.20871,9968152,25.99791701,530.7868779,472.6161504,83.04636016,86.31990364,508.2171573,506.3966259,516.4617227,-11.01075677,208.0383654,0.04381343211,96,44,1.820531325,0
2010/03/18,531.957581,535.721863,527.054077,533.418701,483.46347,7057451,19.62963658,537.7493321,473.7094736,92.00282503,89.12249837,512.0943178,508.3982611,516.6564752,-5.383162467,186.6583483,0.06208085589,96,40,3.69605671,0
2010/03/19,534.335022,543.101929,530.050659,540.897827,490.242188,9108967,18.85089987,543.3176983,476.1438191,94.66428181,90.12750915,516.5256269,510.8056364,516.9951315,-4.101372071,183.9842117,0.08145175883,96,36,5.719990562,1
